group_meta_id,group_name,rarity,min_items,max_items,registry_name,meta,display_name,amount,random_amount,chance_percent,item_group,limited_drop_count,nbt
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:experience_bottle",0,"Bottle o' Enchanting","16","true","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:leather_leggings",0,"Leather Pants","1","false","35","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:lever",0,"Lever","6","false","65","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:string",0,"String","8","false","65","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:arrow",0,"Arrow","16","false","50","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:bow",0,"Bow","1","false","40","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:glass",0,"Glass","64","true","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Natura:Rare Sapling",1,"Silverbell Sapling","1","false","12","saplings_nether","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:fish",2,"Clownfish","1","false","10","","0","{display:{Name:""Nemo"",Lore:[0:""Looks like you found him""]}}"
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:ender_pearl",0,"Ender Pearl","1","false","10","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:heavy_weighted_pressure_plate",0,"Weighted Pressure Plate (Heavy)","1","false","15","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:cactus",0,"Cactus","1","false","15","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Natura:florasapling",2,"Hopseed Sapling","1","false","12","saplings_natura","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:leather_helmet",0,"Leather Cap","1","false","35","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:apple",0,"Apple","8","false","50","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Ztones:tile.bittBlock",0,"Bitt ⓪","32","false","6","ztonebuilding","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:coal",0,"Coal","8","false","45","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:fence",0,"Fence","8","false","10","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Ztones:tile.agonBlock",0,"Agon ⓪","32","false","6","ztonebuilding","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Natura:Rare Sapling",2,"Amaranth Sapling","1","false","12","saplings_nether","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:rail",0,"Track","8","false","35","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:gold_block",0,"Block of Gold","1","false","10","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:sugar",0,"Sugar","16","true","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:torch",0,"Torch","32","true","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:sapling",5,"Dark Oak Sapling","1","false","12","saplings_normal","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:paper",0,"Paper","1","false","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:sapling",2,"Birch Sapling","1","false","12","saplings_normal","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","TConstruct:heartCanister",2,"Red Heart Canister","1","false","5","","10",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Natura:Rare Sapling",4,"Willow Sapling","1","false","12","saplings_nether","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:diamond_block",0,"Block of Diamond","1","false","5","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:wooden_sword",0,"Wooden Sword","1","false","7","","0","{ench:[0:{lvl:5s,id:19s}],RepairCost:5,display:{Name:""Drobac's portable piston"",Lore:[0:""Begone from my sight!""]}}"
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:melon",0,"Melon","8","true","20","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:redstone_torch",0,"Redstone Torch","16","false","45","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:wheat",0,"Wheat","8","false","65","","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","minecraft:sapling",3,"Jungle Sapling","1","false","12","saplings_normal","0",""
"0","dreamcraft.lootbag.group.trash","0","1","1","Natura:florasapling",6,"Darkwood Sapling","1","false","12","saplings_natura","0",""
